Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1709691080867,371.61,289.08,-0.75,3.93,4.19,4.54,1314.80,1213.00,4.00,Detumble Spin,DETUMBLE,ON,3.91,powered,UNpowered,25.51,sleeping,0
1709691083938,-7.54,291.28,-0.72,3.65,4.24,4.67,27.20,1237.40,4.20,Detumble Spin,DETUMBLE,ON,3.91,powered,UNpowered,25.53,sleeping,0
1709691087010,245.02,288.93,-0.75,3.84,4.20,4.57,1049.60,1217.20,4.00,Detumble Spin,DETUMBLE,ON,3.91,powered,UNpowered,25.57,sleeping,0
1709691090072,-7.54,291.73,-0.69,3.65,4.24,4.66,26.40,1237.20,4.20,Detumble Spin,DETUMBLE,ON,3.90,powered,UNpowered,25.51,sleeping,0
1709691093154,-7.48,290.93,-0.72,3.65,4.24,4.66,26.00,1236.20,4.00,Detumble Spin,DETUMBLE,ON,3.90,powered,UNpowered,25.52,sleeping,0
1709691096226,292.20,290.52,-0.72,3.87,4.20,4.55,1233.40,1222.20,4.00,Detumble Spin,DETUMBLE,ON,3.89,powered,UNpowered,25.50,sleeping,0
1709691099298,-7.50,291.35,-0.78,3.65,4.24,4.66,26.40,1238.40,4.00,Detumble Spin,DETUMBLE,ON,3.89,powered,UNpowered,25.49,sleeping,0
1709691102370,39.16,289.96,-0.67,3.69,4.24,4.65,208.20,1235.00,4.00,Detumble Spin,DETUMBLE,ON,3.89,powered,UNpowered,25.50,sleeping,0
1709691105442,-7.52,290.70,-0.75,3.65,4.24,4.67,26.80,1234.80,4.00,Detumble Spin,DETUMBLE,ON,3.88,powered,UNpowered,25.45,sleeping,0
1709691108514,118.41,290.26,-0.79,3.77,4.22,4.61,636.20,1225.00,4.20,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.42,sleeping,0
1709691111586,-7.55,291.59,-0.70,3.65,4.24,4.66,26.00,1238.60,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.37,sleeping,0
1709691114658,-7.44,284.26,-0.73,3.65,4.24,4.66,27.60,1199.80,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.40,sleeping,0
1709691117730,7.81,292.84,-0.82,3.66,4.24,4.66,79.00,1240.00,4.00,Detumble Spin,DETUMBLE,ON,3.88,powered,UNpowered,25.42,sleeping,0
1709691120802,466.25,287.61,-0.82,4.00,4.17,4.49,1864.80,1196.20,4.00,Detumble Spin,DETUMBLE,ON,3.88,powered,UNpowered,25.43,sleeping,0
1709691123874,-7.51,292.04,-0.78,3.65,4.24,4.67,26.80,1239.60,4.00,Detumble Spin,DETUMBLE,ON,3.89,powered,UNpowered,25.42,sleeping,0
1709691126942,7.86,290.66,-0.76,3.67,4.24,4.65,131.40,1233.40,4.00,Detumble Spin,DETUMBLE,ON,3.89,powered,UNpowered,25.40,sleeping,0
1709691130018,39.34,290.25,-0.77,3.69,4.24,4.65,25.00,1232.60,4.00,Detumble Spin,DETUMBLE,ON,3.90,powered,UNpowered,25.37,sleeping,0
