Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1709756669010,-70.20,70.82,-0.73,4.00,3.99,0.84,283.00,283.20,0.00,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1709756672097,-69.51,69.21,-0.78,4.00,3.99,0.84,276.40,274.80,0.00,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1709756675155,-66.15,65.68,-0.68,4.01,4.00,0.84,263.00,262.40,0.00,Boot,DETUMBLE,OFF,4.03,powered,UNpowered,0,sleeping,0
1709756678241,-62.55,62.69,-0.72,4.01,4.00,0.84,250.00,248.60,0.00,Boot,DETUMBLE,OFF,4.03,powered,UNpowered,0,sleeping,0
1709756681299,-60.32,60.44,-0.77,4.01,4.00,0.84,241.00,240.80,0.00,Boot,DETUMBLE,OFF,4.04,powered,UNpowered,0,sleeping,0
1709756684380,-58.83,59.66,-0.71,4.01,4.00,0.84,238.60,238.60,0.00,Boot,DETUMBLE,OFF,4.04,powered,UNpowered,0,sleeping,0
1709756687444,-57.08,57.40,-0.73,4.01,4.00,0.84,230.40,232.20,0.00,Boot,DETUMBLE,OFF,4.04,powered,UNpowered,0,sleeping,0
1709756690529,-54.85,55.59,-0.80,4.01,4.00,0.84,222.20,222.00,0.00,Boot,DETUMBLE,OFF,4.04,powered,UNpowered,0,sleeping,0
1709756693601,-54.71,54.72,-0.78,4.01,4.00,0.84,214.80,215.20,0.00,Boot,DETUMBLE,OFF,4.04,powered,UNpowered,0,sleeping,0
1709756696673,-53.82,53.83,-0.69,4.01,4.01,0.84,213.80,214.00,0.00,Boot,DETUMBLE,OFF,4.04,powered,UNpowered,0,sleeping,0
