Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1709691381790,262.47,42.50,-0.82,3.88,4.36,4.69,1066.60,184.80,4.00,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1709691384866,57.05,42.10,-0.77,3.72,4.36,4.79,270.40,183.20,4.00,Boot,DETUMBLE,OFF,3.93,powered,UNpowered,0,sleeping,0
1709691387931,373.32,40.51,-0.78,3.96,4.36,4.66,1329.40,178.60,4.00,Boot,DETUMBLE,OFF,3.93,powered,UNpowered,0,sleeping,0
1709691391011,-7.59,40.52,-0.73,3.68,4.36,4.82,28.80,173.80,4.00,Boot,DETUMBLE,OFF,3.90,powered,UNpowered,0,sleeping,0
1709691394082,-7.52,40.00,-0.85,3.68,4.36,4.82,27.60,172.80,4.00,Boot,DETUMBLE,OFF,3.88,powered,UNpowered,0,sleeping,0
1709691397154,-7.60,39.98,-0.74,3.68,4.36,4.82,28.40,172.60,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,0,sleeping,0
1709691400225,165.30,40.37,-0.79,3.81,4.36,4.73,822.80,172.20,4.20,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,0,sleeping,0
1709691403298,103.55,39.06,-0.72,3.77,4.36,4.75,507.40,168.20,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,0,sleeping,0
1709691406370,-7.58,38.04,-0.73,3.68,4.37,4.82,28.40,169.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,0,sleeping,0
1709691409442,39.65,39.41,-0.69,3.72,4.36,4.80,211.60,170.40,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,0,sleeping,0
1709691412514,-7.59,38.76,-0.76,3.68,4.37,4.82,28.00,168.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,0,sleeping,0
1709691415587,215.02,38.83,-0.78,3.84,4.36,4.71,881.60,167.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,0,sleeping,0
1709691418652,167.17,38.00,-0.73,3.83,4.36,4.72,832.20,167.00,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,0,sleeping,0
1709691421730,56.86,38.60,-0.81,3.72,4.36,4.79,270.00,165.80,4.20,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,0,sleeping,0
1709691424795,-7.55,38.45,-0.77,3.68,4.37,4.82,27.20,169.00,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,0,sleeping,0
1709691427874,229.46,37.61,-0.73,3.86,4.36,4.72,953.00,165.80,4.20,Boot,DETUMBLE,OFF,3.89,powered,UNpowered,0,sleeping,0
1709691430947,324.19,38.00,-0.74,3.93,4.36,4.67,1323.00,162.20,4.00,Boot,DETUMBLE,OFF,3.91,powered,UNpowered,0,sleeping,0
1709691434019,39.93,37.82,-0.75,3.72,4.37,4.80,212.60,167.00,4.20,Boot,DETUMBLE,OFF,3.93,powered,UNpowered,0,sleeping,0
1709691437091,23.18,38.62,-0.70,3.70,4.36,4.79,271.60,166.20,4.00,Boot,DETUMBLE,OFF,3.95,powered,UNpowered,0,sleeping,0
1709691440162,466.42,37.96,-0.79,4.03,4.35,4.61,1878.80,163.00,4.00,Boot,DETUMBLE,OFF,3.97,powered,UNpowered,0,sleeping,0
1709691443235,105.11,37.51,-0.73,3.76,4.36,4.77,487.00,161.20,4.00,Boot,DETUMBLE,OFF,3.99,powered,UNpowered,0,sleeping,0
1709691446307,-7.38,37.92,-0.75,3.68,4.37,4.82,28.00,167.40,4.00,Boot,DETUMBLE,OFF,4.00,powered,UNpowered,0,sleeping,0
1709691449372,418.70,37.68,-0.77,4.00,4.36,4.63,1693.00,163.00,3.60,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1709691452451,466.54,37.81,-0.76,4.03,4.35,4.61,1879.00,164.00,4.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1709691455517,466.43,37.62,-0.72,4.03,4.35,4.61,1878.00,164.80,4.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1709691458594,229.25,37.12,-0.77,3.86,4.36,4.72,951.60,164.80,4.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1709691461667,-7.49,36.85,-0.76,3.68,4.37,4.82,27.20,163.20,4.00,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1709691464739,466.97,37.83,-0.83,4.03,4.35,4.60,1881.00,162.60,4.00,Boot,DETUMBLE,OFF,4.00,powered,UNpowered,0,sleeping,0
1709691467811,-7.51,37.78,-0.71,3.68,4.37,4.82,27.20,163.20,4.00,Boot,DETUMBLE,OFF,3.99,powered,UNpowered,0,sleeping,0
1709691470883,-7.44,38.04,-0.84,3.68,4.37,4.82,27.60,167.00,4.00,Boot,DETUMBLE,OFF,3.98,powered,UNpowered,0,sleeping,0
1709691473954,466.56,36.75,-0.73,4.03,4.35,4.60,1880.60,162.40,4.00,Boot,DETUMBLE,OFF,3.97,powered,UNpowered,0,sleeping,0
1709691477022,119.85,36.55,-0.81,3.77,4.36,4.76,510.00,161.60,4.00,Boot,DETUMBLE,OFF,3.97,powered,UNpowered,0,sleeping,0
1709691480094,309.25,37.27,-0.70,3.91,4.36,4.66,1386.40,164.80,4.00,Boot,DETUMBLE,OFF,3.96,powered,UNpowered,0,sleeping,0
1709691483167,-7.50,37.14,-0.76,3.68,4.37,4.82,28.00,164.00,4.00,Boot,DETUMBLE,OFF,3.95,powered,UNpowered,0,sleeping,0
1709691486235,212.89,36.74,-0.73,3.84,4.36,4.71,1010.60,157.60,4.00,Boot,DETUMBLE,OFF,3.93,powered,UNpowered,0,sleeping,0
1709691489314,-7.56,37.18,-0.79,3.68,4.37,4.82,29.60,160.60,4.20,Boot,DETUMBLE,OFF,3.92,powered,UNpowered,0,sleeping,0
1709691492384,-7.50,37.80,-0.72,3.68,4.37,4.82,27.60,161.20,4.00,Boot,DETUMBLE,OFF,3.91,powered,UNpowered,0,sleeping,0
1709691495453,-7.57,37.88,-0.79,3.68,4.37,4.82,27.60,160.80,4.00,Boot,DETUMBLE,OFF,3.90,powered,UNpowered,0,sleeping,0
1709691498530,134.41,37.32,-0.77,3.79,4.36,4.75,581.40,160.80,4.00,Boot,DETUMBLE,OFF,3.89,powered,UNpowered,0,sleeping,0
1709691501602,164.66,36.95,-0.81,3.80,4.36,4.74,637.20,161.40,4.00,Boot,DETUMBLE,OFF,3.88,powered,UNpowered,0,sleeping,0
1709691504675,150.85,37.45,-0.79,3.81,4.36,4.73,690.60,163.00,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,0,sleeping,0
1709691507742,-7.53,37.47,-0.76,3.68,4.37,4.82,28.00,163.80,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,29.68,sleeping,0
1709691510804,-7.55,36.53,-0.76,3.68,4.37,4.82,28.40,160.20,4.20,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.69,sleeping,0
1709691513890,-7.50,36.62,-0.80,3.68,4.36,4.82,28.80,160.80,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.70,sleeping,0
1709691516962,87.10,36.82,-0.74,3.75,4.36,4.77,396.40,161.40,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.74,sleeping,0
1709691520035,245.19,37.87,-0.77,3.83,4.36,4.72,823.00,162.40,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.79,sleeping,0
1709691523101,-7.56,37.19,-0.80,3.68,4.37,4.82,28.00,161.00,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.72,sleeping,0
1709691526179,-7.58,36.43,-0.71,3.68,4.37,4.82,27.60,159.60,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.71,sleeping,0
1709691529251,39.57,36.80,-0.72,3.72,4.36,4.80,212.60,159.60,4.40,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,29.70,sleeping,0
1709691532323,244.57,37.65,-0.81,3.83,4.36,4.72,820.80,160.60,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.76,sleeping,0
1709691535395,-7.58,37.81,-0.81,3.68,4.37,4.82,26.80,162.20,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.80,sleeping,0
1709691538467,-7.56,37.29,-0.66,3.68,4.37,4.82,28.00,160.40,4.20,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.83,sleeping,0
1709691541539,-7.57,36.52,-0.79,3.68,4.37,4.82,27.60,159.20,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.85,sleeping,0
1709691544611,260.26,37.36,-0.85,3.88,4.36,4.68,1195.40,163.40,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.85,sleeping,0
1709691547681,-7.53,36.96,-0.82,3.68,4.37,4.82,27.60,162.00,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.85,sleeping,0
1709691550751,134.01,36.49,-0.69,3.75,4.36,4.77,396.20,157.80,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.91,sleeping,0
1709691553824,-7.45,36.99,-0.75,3.68,4.37,4.82,28.00,161.40,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.99,sleeping,0
1709691556898,388.89,36.31,-0.80,3.97,4.36,4.63,1566.40,157.00,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,30.04,sleeping,0
1709691559971,-7.49,37.26,-0.68,3.68,4.37,4.82,27.60,161.80,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.05,sleeping,0
1709691563043,71.15,37.01,-0.75,3.74,4.36,4.78,328.20,161.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.07,sleeping,0
1709691566115,-7.52,35.88,-0.79,3.68,4.37,4.82,27.60,162.00,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.11,sleeping,0
1709691569187,86.54,36.77,-0.74,3.72,4.36,4.80,212.60,158.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.13,sleeping,0
1709691572259,259.65,37.47,-0.80,3.84,4.36,4.71,872.00,163.80,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,30.13,sleeping,0
1709691575330,-7.56,37.16,-0.77,3.68,4.37,4.82,28.00,162.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.15,sleeping,0
1709691578403,-7.57,36.45,-0.80,3.68,4.37,4.82,28.00,160.40,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,30.12,sleeping,0
1709691581475,96.12,36.87,-0.79,3.76,4.36,4.76,456.60,158.60,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,30.09,sleeping,0
1709691584542,-7.51,36.83,-0.83,3.68,4.37,4.82,27.60,160.00,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,30.09,sleeping,0
1709691587614,-7.60,36.71,-0.75,3.68,4.37,4.82,26.40,161.00,4.00,Boot,DETUMBLE,OFF,3.87,powered,UNpowered,30.09,sleeping,0
1709691590690,197.62,37.09,-0.80,3.84,4.36,4.71,872.80,161.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.08,sleeping,0
1709691593755,70.70,36.77,-0.75,3.73,4.36,4.78,319.40,156.60,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.12,sleeping,0
1709691596834,-7.52,36.69,-0.81,3.68,4.37,4.82,27.60,160.00,4.20,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.15,sleeping,0
1709691599905,281.93,36.95,-0.80,3.87,4.36,4.70,1009.60,161.40,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.12,sleeping,0
1709691602978,-7.50,36.59,-0.77,3.68,4.37,4.82,28.00,160.20,4.00,Boot,DETUMBLE,OFF,3.86,powered,UNpowered,30.10,sleeping,0
