Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1709692570656,196.71,36.47,-0.68,3.83,4.36,4.72,816.20,159.40,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,30.02,sleeping,0
1709692573727,164.70,37.35,-0.82,3.81,4.36,4.73,685.40,164.00,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,30.04,sleeping,0
1709692576793,23.07,36.42,-0.83,3.72,4.36,4.78,267.20,160.80,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,30.03,sleeping,0
1709692579872,-7.58,36.72,-0.77,3.68,4.37,4.82,28.80,157.20,3.60,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,30.04,sleeping,0
1709692582943,-7.54,35.95,-0.73,3.68,4.37,4.82,27.20,157.60,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,30.06,sleeping,0
1709692586015,-7.55,36.63,-0.75,3.68,4.37,4.81,27.20,163.00,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,30.03,sleeping,0
1709692589083,-7.51,36.59,-0.76,3.68,4.37,4.82,28.00,162.60,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,30.05,sleeping,0
1709692592159,-7.56,36.37,-0.76,3.68,4.37,4.82,28.40,160.80,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,30.06,sleeping,0
1709692595231,196.45,36.59,-0.68,3.83,4.36,4.72,924.60,157.40,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,30.00,sleeping,0
1709692598303,196.79,36.56,-0.75,3.84,4.36,4.71,870.60,156.80,4.20,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,29.97,sleeping,0
1709692601368,7.82,36.65,-0.75,3.69,4.37,4.81,80.40,160.20,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,29.96,sleeping,0
1709692604447,-7.54,36.46,-0.77,3.68,4.37,4.82,28.00,161.40,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,29.92,sleeping,0
1709692607519,-7.57,36.28,-0.83,3.68,4.37,4.82,27.20,156.80,4.00,Boot,DETUMBLE,OFF,3.84,powered,UNpowered,29.94,sleeping,0
1709692610591,340.95,35.82,-0.73,3.94,4.36,4.66,1379.80,158.00,4.20,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.94,sleeping,0
1709692613663,-7.53,36.90,-0.80,3.68,4.37,4.82,27.20,160.20,4.00,Boot,DETUMBLE,OFF,3.85,powered,UNpowered,29.95,sleeping,0
