Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1711135249827,-41.49,41.42,-0.72,4.11,4.1,0.82,169.4,169.8,0,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711135252898,-40.73,41.14,-0.77,4.12,4.1,0.82,168.6,168.2,0,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711135255973,-40.09,39.89,-0.77,4.11,4.1,0.82,164.6,164,0,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711135259045,-39.85,40.51,-0.7,4.11,4.1,0.82,164.8,166,0,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711135262116,-39.89,39.75,-0.76,4.12,4.11,0.82,163.4,163.4,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135265189,-38.07,38.09,-0.7,4.12,4.11,0.82,159.2,158.8,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135268254,-38.45,38.63,-0.74,4.12,4.11,0.82,158.4,156.2,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135271329,-39.05,38.98,-0.68,4.12,4.11,0.82,159.4,159.6,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135274406,-38.66,38.18,-0.78,4.12,4.11,0.82,157.4,159.4,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135277476,-37.64,38.23,-0.67,4.12,4.11,0.82,152,154.6,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135280550,-37.25,37.24,-0.76,4.12,4.11,0.82,153.8,154.4,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711135283622,-37.68,38.13,-0.7,4.12,4.11,0.82,154.4,152.8,0,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
